CNN,street1,street2,street3,street4,street5
50294000,MILES ST,END: 1-99 BLOCK,,,
50295000,JOICE ST,START: 1-99 BLOCK,,,
50299000,NORTH VIEW CT,START: 1-99 BLOCK,,,
50300000,CULEBRA TER,END: 100-199 BLOCK,,,
50302000,IMPERIAL ALY,START: 1-99 BLOCK,,,
50303000,SERVICE ST,END: 1-99 BLOCK,,,
50304000,GRENARD TER,END: 1-99 BLOCK,,,
50305000,RENO PL,START: 1-99 BLOCK,,,
50306000,ICEHOUSE ALY,START: 50-99 BLOCK,,,
50307000,ICEHOUSE ALY,END: 1-49 BLOCK,,,
50308000,BANNAN PL,BANNAN PL,,,
50310000,PONTIAC ST,END: 1-99 BLOCK,,,
50311000,GREEN ST,END: WEST,,,
50316000,HICKORY ST,HICKORY ST,,,
50320000,LILY ST,END: 400-499 BLOCK,,,
50322000,INCA LN,ELLIS ST,,,
50323000,ELLIS ST,START: 1350-1441 BLOCK,,,
50324000,LARCH ST,BUCHANAN ST,,,
50325000,ELM ST,START: 250-299 BLOCK,,,
50326000,REDWOOD ST,START: 200-299 BLOCK,,,
50327000,REDWOOD ST,END: 350-399 BLOCK,,,
50328000,ASH ST,START: 300-399 BLOCK,,,
50330000,REDWOOD ST,END: 600-699 BLOCK,,,
50331000,ELLIS ST,END: 1550-1599 BLOCK,,,
50332000,ELLIS ST,END: 1500-1549 BLOCK,,,
50333000,ELM ST,END: 1100-1125 BLOCK,,,
50334000,KRAUSGRILL PL,END: 1-99 BLOCK,,,
50335000,TONQUIN ST,RICHARD HENRY DANA PL,,,
50336000,JONES ST,END: 0-0 BLOCK,,,
50338000,GREENWICH ST,GREENWICH ST,,,
50339000,KEARNY ST,GREENWICH ST,,,
50340000,MONTGOMERY ST,GREENWICH ST,,,
50341000,GREENWICH ST,GREENWICH ST,,,
50343000,GOLDBERG LN,START: 0-0 BLOCK,,,
50344000,GOLDBERG LN,END: 0-0 BLOCK,,,
50345000,CHESTNUT ST,START: 1130-1151 BLOCK,,,
50346000,MCDOWELL AVE,START: 0-0 BLOCK,,,
50347000,MCDOWELL AVE,END: 0-0 BLOCK,,,
50348000,ELM ST,START: 1120-1199 BLOCK,,,
50349000,PIERCE ST,START: 1-99 BLOCK,,,
50350000,POWELL ST,EDDY ST,,,
50352000,FRANCISCO ST,END: WEST,,,
50353000,KEARNY ST,KEARNY ST,,,
50354000,FILBERT ST,END: WEST,,,
50355000,FILBERT ST,START: 1-99 BLOCK,,,
50357000,DUNCOMBE ALY,END: 1-99 BLOCK,,,
50358000,PHOENIX TER,START: 1-99 BLOCK,,,
50359000,CADELL PL,END: 1-99 BLOCK,,,
50362000,CHESTNUT ST,END: 1100-1129 BLOCK,,,
50363000,HYDE ST,END: 0-0 BLOCK,,,
50364000,STOCKTON ST,END: 2400-2499 BLOCK,,,
